chapter,word,translate,phonetic
章3-1,ability,n. 能力；才能；,əˈbɪləti
章3-1,abstract,adj. 抽象的；非具体的； n. 摘要；概要；抽象派艺术作品；,ˈæbstrækt
章3-1,accountant,n. 会计师；,əˈkaʊntənt
章3-1,accuracy,n. 精确性；准确度；,ˈækjərəsi
章3-1,acid,n. 酸； adj. 酸性的；,ˈæsɪd
章3-1,action,n. 行动；行为；,ˈækʃ(ə)n
章3-1,activity,n. 活动；活跃；,ækˈtɪvəti
章3-1,actor,n. 演员；男演员；,ˈæktə(r)
章3-1,adult,n. 成人； adj. 成年的；,ˈædʌlt
章3-1,adventure,n. 冒险；,ədˈventʃə(r)
章3-1,advertisements,n. 广告；“advertisement”的复数；,ədˈvɜːtɪsmənts
章3-1,advertising,n. 广告活动；广告业； v. 做广告；“advertise”的现在分词；,ˈædvətaɪzɪŋ
章3-1,advice,n. 建议；意见；,ədˈvaɪs
章3-1,age,n. 年龄；时代； v. 变老；,eɪdʒ
章3-1,agency,n. 机构；局；代理处；,ˈeɪdʒənsi
章3-1,agreement,n. 协议；一致；,əˈɡriːmənt
章3-1,agriculture,n. 农业,ˈæɡrɪkʌltʃə(r)
章3-1,aid,n. 帮助；援助； v. 帮助；协助；,eɪd
章3-1,aim,n. 目标；目的； v. 瞄准；以其为目标；,eɪm
章3-1,air,n. 空气；空中；,eə(r)
章3-1,allergy,n. 过敏症；,ˈælədʒi
章3-1,alley,n. 小巷；胡同；,ˈæli
章3-1,allowance,n. 零用钱；津贴；,əˈlaʊəns
章3-1,alteration,n. 改变；变更；,ˌɔːltəˈreɪʃ(ə)n
章3-1,altitude,n. 海拔；高度；,ˈæltɪtjuːd
章3-1,ambition,n. 野心；雄心；抱负；,æmˈbɪʃ(ə)n
章3-1,ambulance,n. 救护车,ˈæmbjələns
章3-1,amount,n. 数量；数额； v. 总计；等于；,əˈmaʊnt
章3-1,analysis,n. 分析,əˈnæləsɪs
章3-1,analyst,n. 分析者；,ˈænəlɪst
章3-1,anger,n. 愤怒；,ˈæŋɡə(r)
章3-1,animal,n. 动物,ˈænɪm(ə)l
章3-1,ankle,n. 踝；踝关节；,ˈæŋk(ə)l
章3-1,answer,v. 回答；回应； n. 回答；答案；,ˈɑːnsə(r)
章3-1,antarctica,n. 南极洲,ænˈtɑːktɪkə
章3-1,ape,n. 猿；,eɪp
章3-1,appearance,n. 外观；外表；出现；露面；,əˈpɪərəns
章3-1,architect,n. 建筑师；,ˈɑːkɪtekt
章3-1,architectures,n. 建筑物；,ˈɑːkɪtektʃə(r)z
章3-1,area,n. 面积；区域；,ˈeəriə
章3-1,argument,n. 论点；争论；辩论；,ˈɑːɡjumənt
章3-1,aristocrat,n. 贵族,ˈærɪstəkræt
章3-1,army,n. 军队,ˈɑːmi
章3-1,art,n. 艺术,ɑːt
章3-1,article,n. 文章；条款；,ˈɑːtɪk(ə)l
章3-1,aspirin,n. 阿司匹林（镇痛解热消炎药）,ˈæspərɪn
章3-1,assignment,n. 作业；任务；,əˈsaɪnmənt
章3-1,atlas,n. 地图册；地图集；,ˈætləs
章3-1,audience,n. 观众；听众；,ˈɔːdiəns
章3-1,auditorium,n. 礼堂；观众席；,ˌɔːdɪˈtɔːriəm
章3-1,author,n. 作者,ˈɔːθə(r)
章3-1,authority,n. 权威；官方机构；权力；权威人士；当局；,ɔːˈθɒrəti
章3-1,average,n. 平均数；平均水平； adj. 平均的；普通的； v. 平均为…；,ˈævərɪdʒ
章3-1,award,n. 奖品；裁定； v. 授予；,əˈwɔːd
章3-1,bachelor,n. 学士（本科）；,ˈbætʃələ(r)
章3-1,background,n. 背景；经历；,ˈbækɡraʊnd
章3-1,bacteria,n. 细菌；“bacterium”的复数；,bækˈtɪəriə
章3-1,badge,n. 徽章,bædʒ
章3-1,badminton,n. 羽毛球运动；羽毛球；,ˈbædmɪntən
章3-1,backpack,n. 背包；背囊；,ˈbækpæk
章3-1,baldness,n. 光秃；露骨,ˈbɔːldnəs
章3-1,band,n. 乐队；带子；一伙；,bænd
章3-1,bandage,n. 绷带 v. 用绷带包扎,ˈbændɪdʒ
章3-1,bands,n.乐队,bændz
章3-1,bank,n. 银行；岸；,bæŋk
章3-1,banquet,n. 宴会；盛宴；,ˈbæŋkwɪt
章3-1,base,n. 基础；基地； v. 以…为基础；,beɪs
章3-1,basement,n. 地下室,ˈbeɪsmənt
章3-1,bases,n. 基地；基础；根据；“basis”的复数；“base”的复数；,ˈbeɪsiːz
章3-1,basis,n. 基础；根据；,ˈbeɪsɪs
章3-1,bath,n. 浴室；洗澡；,bɑːθ
章3-1,batteries,n. 电池；“battery”的复数；,ˈbætərɪz
章3-1,battery,n. 电池；一组；,ˈbætri
章3-1,beach,n. 海滩；沙滩；,biːtʃ
章3-1,beard,n. 胡须；,bɪəd
