chapter,word,translate,phonetic,example,example_translate
C4,cities,n. 城市；“city”的复数；,ˈsɪtɪz,Many cities have busy streets and tall buildings.,许多城市都有繁忙的街道和高楼。
C4,environment,n. 环境,ɪnˈvaɪrənmənt,He protects the environment by recycling.,他通过回收利用来保护环境。
C4,windy,adj. 多风的；有风的；,ˈwɪndi,It is a windy day today.,今天是多风的一天。
C4,humid,adj. 湿润的；潮湿的；,ˈhjuːmɪd,The air feels humid after it rains.,雨后空气感觉湿润。
C4,shady,adj. 背阴的；阴凉的；,ˈʃeɪdi,The shady spot under the tree is cool.,树下的背阴处很凉爽。
C4,shaded,v. 遮蔽；“shade”的过去式和过去分词；,ˈʃeɪdɪd,The tree shaded the bench from the sun.,这棵树遮蔽了长椅，使其免受阳光照射。
C4,dangerous,adj. 危险的,ˈdeɪndʒərəs,The river is dangerous for children.,这条河对孩子来说很危险。
C4,leaves,n. 叶；叶片；“leaf”的复数； v. 留下；离开；离去；,liːvz,The tree loses its leaves in autumn.,这棵树在秋天落叶。
C4,ground,n. 地面；土地；场地；根据； v. 磨碎；“grind”的过去式和过去分词；,ɡraʊnd,The children are playing on the ground.,孩子们在地面上玩耍。
C4,considerably reduce,adv. + v. 大大地减少；显著地降低,kənˌsɪdərəbli rɪˈdjuːs,The new machine can considerably reduce the time needed.,这台新机器可以大大减少所需的时间。
C4,decrease,"n. 减少；
v. 减少；降低；",dɪˈkriːs,There was a decrease in rainfall last month.,上个月降雨量减少了。
C4,filter,"v. 过滤；
n. 过滤器；",ˈfɪltə(r),She filters the water before drinking it.,她在喝水之前过滤水。
C4,low,"adj. 低沉的；低垂的；
adv. 低；低矮；在低处；往下地；",ləʊ,He spoke in a low voice to avoid waking the baby.,他用低沉的声音说话，以免吵醒婴儿。
C4,space,"n. 空间；太空；空格；
v. 以一定间隔排列；",speɪs,The room has enough space for a bed and a desk.,这个房间有足够的空间放一张床和一张书桌。
C4,room,n. 房间；空间；,ruːm,The room has a bed and a window.,这个房间有一张床和一扇窗户。
C4,mass media,phrase. 大众传播媒介,ˌmæs ˈmiːdiə,The mass media shows news every day.,大众媒体每天播放新闻。
C4,academic circle,phrase. 学术界,ˌækəˈdemɪk ˈsɜːk(ə)l,He is popular in the academic circle.,他在学术圈里很受欢迎。
C4,researcher,n. 研究员,rɪˈsɜːtʃə(r),The researcher studies how plants grow.,这位研究人员研究植物是如何生长的。
C4,Knowledge,n. 知识；了解；学问；学识；,ˈnɒlɪdʒ,He gained knowledge from reading books.,他通过读书获得了知识。
C4,unaware,adj. 没意识到的；不知道的；,ˌʌnəˈweə(r),He was unaware of the rain until he got wet.,他直到被淋湿了才意识到下雨了。
C4,individual customer,n. 个人客户；个体消费者,ˌɪndɪˈvɪdʒuəl ˈkʌstəmə(r),The store serves each individual customer with care.,商店用心服务每一位顾客。
C4,illegal profit,phrase. 非法利润,ɪˈliːɡl ˈprɒfɪt,He made illegal profit by selling fake goods.,他通过销售假冒商品获得非法利润。
C4,questionnaire,n. 问卷；调查表；,ˌkwestʃəˈneə(r),The teacher gave us a questionnaire about our habits.,老师给了我们一份关于我们习惯的问卷。
C4,approximately,adv. 大约；大概；,əˈprɒksɪmətli,The trip takes approximately 30 minutes.,这段旅程大约需要30分钟。
C4,education,n. 教育,ˌedʒuˈkeɪʃ(ə)n,He values education very much.,他非常重视教育。
C4,residence,n. 住所；,ˈrezɪdəns,His residence is near the park.,他的住所靠近公园。
C4,living quarter,n. 居住区,/ˈlɪvɪŋ ˈkwɔːtə/,The workers live in a small living quarter near the site.,工人们住在工地附近的一个小住宿区里。
C4,traffic,n. 交通；流量；,ˈtræfɪk,The traffic on the highway was very heavy this morning.,今天早上高速公路上的交通非常拥堵。
C4,parking,n. （车辆等的）停放；停车场所；停车位； v. “park”的现在分词；,ˈpɑːkɪŋ,There is no parking near the school.,学校附近没有停车的地方。
C4,lecture room,n. 教室；讲堂；演讲厅,ˈlektʃə rʊm,The students went to the lecture room at 9 a.m.,学生们早上九点去了教室。
C4,lecture hall,n. 大讲堂；阶梯教室,ˈlɛktʃə hɔːl,The students walk to the lecture hall for class.,学生们走向礼堂上课。
C4,lecture theatre,phrase. 阶梯教室,ˈlektʃə θɪətə(r),The students went to the lecture theatre for biology class.,学生们去讲堂上生物课。
C4,choice of facilities,n. 设施的选择；可选用的设施选项,tʃɔɪs əv fəˈsɪlɪtiːz,The choice of facilities at the new gym is excellent.,新健身房的设施选择非常好。
C4,tail,n. 尾巴；,teɪl,The dog wagged its tail happily.,狗开心地摇着尾巴。
C4,floor,n. 楼层；地面；地板；,flɔː(r),My room is on the third floor.,我的房间在三楼。
C4,bed,n. 床；底；,bed,He sleeps on a soft bed.,他睡在一张柔软的床上。
C4,bottom,n. 底部；底面；尽头；,ˈbɒtəm,The book fell to the bottom of the shelf.,书掉到了架子的底部。
C4,sense of smell,n. 嗅觉；闻气味的能力,sens əv smel,Dogs have a strong sense of smell.,狗有很强的嗅觉。
C5,politics,n. 政治；政治学；,ˈpɒlətɪks,He is interested in politics.,他对政治感兴趣。
C5,learn,v. 学习；得知；,lɜːn,I learn English every day.,我每天学习英语。
C5,children's education,n. 儿童教育,/ˈtʃɪl.drənz ˌed.jʊˈkeɪ.ʃən/,Parents care about children's education.,父母关心孩子的教育。
C5,car,n. 小汽车,kɑː(r),He drives a red car to work.,他开车去上班。
C5,nursing care,phrase. 护理,ˈnɜːsɪŋ keə(r),The nurse provides nursing care to the old man every day.,护士每天为这位老人提供护理。
C5,crisis,n. 危机；危急关头；,ˈkraɪsɪs,The country is facing an economic crisis.,这个国家正面临经济危机。
C5,early twenties,n. 二十出头的年龄阶段，通常指20到24岁之间,ˈɜːli ˈtwentiz,He moved to New York in his early twenties.,他在二十岁出头时搬到了纽约。
C5,confidence,n. 信心；信任；,ˈkɒnfɪdəns,He spoke with confidence during the presentation.,他在演讲时充满信心。
C5,money management,phrase. 金钱管理,ˈmʌni ˈmænɪdʒmənt,He learns money management from his dad.,他从他爸爸那里学习理财。
C5,low-risk investment,phrase. 低风险投资,ləʊ rɪsk ɪnˈvestmənt,He chose a low-risk investment to save for retirement.,他选择了一种低风险投资来为退休储蓄。
C5,desert,n. 沙漠；荒漠；,ˈdezət,The camel walks across the desert.,骆驼穿越沙漠。
C5,science,n. 科学,ˈsaɪəns,He loves science and reads books about it.,他喜欢科学，经常读关于它的书。
C5,hospital,n. 医院,ˈhɒspɪt(ə)l,He went to the hospital because he felt sick.,他因为感觉不舒服去了医院。
C5,ship,"n. 船；舰；
v. 装运；",ʃɪp,The ship sailed across the ocean.,船驶过了海洋。
C5,Platform,n. 平台；站台；月台；,ˈplætfɔːm,The teacher stood on the platform to speak.,老师站在平台上讲话。
C5,ocean currents,phrase. 洋流,ˈəʊʃ(ə)n ˈkʌrənts,Ocean currents move warm water across the sea.,洋流将暖水输送到海洋各处。
C5,pollution,n. 污染；,pəˈluːʃ(ə)n,The river is dirty because of pollution.,这条河因为污染而变得肮脏。
C5,young,adj. 年轻的；年幼的；,jʌŋ,The young boy plays soccer every afternoon.,这个年轻的孩子每天下午都踢足球。
C5,incineration plant,phrase. 焚烧车间；焚化厂,ɪnˌsɪnəˈreɪʃ(ə)n plɑːnt,The incineration plant burns trash to make energy.,焚烧车间焚烧垃圾以产生能源。
C5,drop-off,phrase. 急剧下降,ˈdrɒp ɒf,The sales had a sudden drop-off last month.,上个月销售额急剧下降。
C5,cooking,n. 烹饪； adj. 烹调用的； v. 烹饪；“cook”的现在分词；,ˈkʊkɪŋ,Cooking is her favorite hobby.,烹饪是她最喜欢的爱好。
C5,road,n. 道路；公路；,rəʊd,The road is long and quiet.,这条路又长又安静。
C5,soil conditioner,phrase. 土壤改良剂,sɔɪl kənˈdɪʃənə(r),He uses soil conditioner to help plants grow.,他使用土壤改良剂来帮助植物生长。
C5,container,n. 容器；集装箱；,kənˈteɪnə(r),She put the apples in a plastic container.,她把苹果放进了一个塑料容器里。
C5,pencil,n. 铅笔,ˈpens(ə)l,He uses a pencil to write his name.,他用铅笔写自己的名字。
C5,business card,n. 名片,ˈbɪznəs kɑːd,He gave me his business card.,他给了我他的名片。
C6,feed,"v. 喂；吃；
n. 饲养；喂养；",fiːd,She feeds the cat every morning.,她每天早上喂猫。
C6,metal,n. 金属,ˈmet(ə)l,He found a piece of metal in the garden.,他在花园里发现了一块金属。
C6,leather,n. 皮革,ˈleðə(r),He bought a leather jacket for winter.,他冬天买了一件皮夹克。
C6,restriction,n. 限制；,rɪˈstrɪkʃ(ə)n,There is a restriction on smoking in this building.,这栋楼里禁止吸烟。
C6,ship,"n. 船；舰；
v. 装运；",ʃɪp,The ship sailed across the ocean.,船驶过了海洋。
C6,England,n. 英格兰；英国；,ˈɪŋɡlənd,He was born in England.,他出生在英格兰。
C6,built,v. 建筑；建造；“build”的过去式和过去分词；,bɪlt,They built a house last year.,他们去年建了一栋房子。
C6,poverty,n. 贫困；,ˈpɒvəti,Many children suffer from poverty in poor countries.,许多孩子在贫穷国家遭受贫困。
C6,great train robbery,n. 大火车抢劫案；指1963年发生在英国的一起著名火车抢劫事件,ɡreɪt treɪn ˈrɒbəri,The great train robbery happened in 1963.,大火车抢劫案发生在1963年。
C6,sound effect,phrase. 音效,ˈsaʊnd ɪfekt,The movie has a loud sound effect.,这部电影有一个很大的音效。
C6,poor sound quality,n. 音质差；声音质量不佳,pɔː(r) saʊnd ˈkwɒləti,The phone has poor sound quality.,这部手机的音质很差。
C6,people,n. 人们；人；人民；,ˈpiːp(ə)l,People like to walk in the park on weekends.,人们喜欢在周末去公园散步。
C6,water,"n. 水；
v. 给…浇水；给（某地）供水；",ˈwɔːtə(r),She drinks water every morning.,她每天早上喝水。
C6,sand,n. 沙；,sænd,The children built a castle in the sand.,孩子们在沙子里建了一座城堡。
C6,Scotland,n. 苏格兰,ˈskɒtlənd,He lives in Scotland.,他住在苏格兰。
C6,outside,"prep. 在...外；
n. 外面；外边；外部；
adv. 在外面；
adj. 外面的；外界的；",ˌaʊtˈsaɪd,The cat is sitting outside the house.,猫坐在房子外面。
C6,local,adj. 本地的；,ˈləʊk(ə)l,He bought fresh vegetables from the local market.,他从本地市场买了新鲜蔬菜。
C6,top,"n. 顶；顶部；顶端；
adj. 最高的；极棒的；
v. 胜过；超过；",tɒp,The top of the mountain is covered with snow.,山顶上覆盖着雪。
C6,disease,n. 疾病；,dɪˈziːz,The doctor treated his disease with medicine.,医生用药物治疗了他的疾病。
C6,wealthy prince,phrase. 富有的王子,ˈwelθi prɪns,The wealthy prince lives in a big castle.,这位富有的王子住在一座大城堡里。
C6,diet,"n. 日常饮食；节食；
v. 节制饮食；",ˈdaɪət,His diet includes lots of vegetables and fruits.,他的日常饮食包括大量蔬菜和水果。
C6,attack human,动词短语，攻击人类,əˈtæk ˈhjuːmən,The robot was programmed not to attack human.,这个机器人被编程为不攻击人类。
C6,leadership,n. 领导才能；领导地位；,ˈliːdəʃɪp,His leadership helped the team win the match.,他的领导才能帮助团队赢得了比赛。
